RNC,utranCell,Latitude,Longitude,azimuth
RNC0,TESTCZ1,45.6486,-61.4653,90
RNC0,TESTCZ2,45.6486,-61.4653,190
RNC0,TESTCZ3,45.6486,-61.4653,350
RNC0,TESTFZ1,45.597222,-61.689167,70
RNC0,TESTFZ2,45.597222,-61.689167,170
RNC0,TESTFZ3,45.597222,-61.689167,270
RNC0,TESTIZ0,45.686669,-60.979739,0
RNC0,TESTEZ0,45.996675,-60.456692,0
RNC0,TESTAU1,45.617953,-61.994025,60
RNC0,TESTAU2,45.617953,-61.994025,180
RNC0,TESTAU3,45.617953,-61.994025,300
RNC0,TESTKZ0,45.642792,-62.125289,0
RNC0,TESTVZ0,45.591117,-61.8914,0
RNC0,TESTYZ1,46.103375,-60.273603,70
RNC0,TESTYZ2,46.103375,-60.273603,190
RNC0,TESTYZ3,46.103375,-60.273603,310
RNC0,TESTDZ0,45.788903,-61.371692,0
RNC0,TESTLZ0,46.168078,-60.108078,0
RNC0,TESTZ0,46.198631,-59.977508,0
RNC0,TESTNZ0,46.217508,-60.477225,0
RNC0,TESTWZ1,46.1344,-60.1453,20
RNC0,TESTWZ2,46.1344,-60.1453,160
RNC0,TESTWZ3,46.1344,-60.1453,260
RNC0,TESTZ0,46.170567,-60.662794,0
RNC0,TESTXZ0,45.634778,-61.349908,0
RNC0,TESTWZ0,46.23695,-60.098906,0
RNC0,TESTZ1,46.226864,-60.244483,50
RNC0,TESTZ2,46.226864,-60.244483,220
RNC0,TESTZ3,46.226864,-60.244483,300
RNC0,TESTQZ0,45.967506,-59.989178,0
RNC0,TESTZ0,45.986669,-60.855283,0
RNC0,TESTZ0,45.927222,-61.090839,0
RNC0,TESTKZ1,46.121886,-60.204467,80
RNC0,TESTKZ2,46.121886,-60.204467,180
RNC0,TESTKZ3,46.121886,-60.204467,280
RNC0,TESTVZ1,46.137911,-60.196197,10
RNC0,TESTVZ2,46.137911,-60.196197,140
RNC0,TESTVZ3,46.137911,-60.196197,250
RNC0,TESTDZ0,45.638356,-61.514447,0
