Source,Cells,latitude_Cells,longitude_Cells,Target,Target_Cells,latitude_target,longitude_target,Distance
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTKZ0,45.642792,-62.125289,1411.93
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTAU1,45.617953,-61.994025,1422.00
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTAU2,45.617953,-61.994025,1422.00
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTAU3,45.617953,-61.994025,1422.00
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTVZ0,45.591117,-61.8914,1429.85
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTFZ1,45.597222,-61.689167,1445.60
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTFZ2,45.597222,-61.689167,1445.60
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTFZ3,45.597222,-61.689167,1445.60
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTDZ0,45.638356,-61.514447,1459.35
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTCZ1,45.6486,-61.4653,1463.21
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTCZ2,45.6486,-61.4653,1463.21
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTCZ3,45.6486,-61.4653,1463.21
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTDZ0,45.788903,-61.371692,1471.14
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTXZ0,45.634778,-61.349908,1472.12
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTZ0,45.927222,-61.090839,1493.64
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTIZ0,45.686669,-60.979739,1501.07
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTZ0,45.986669,-60.855283,1512.18
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTZ0,46.170567,-60.662794,1528.21
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTNZ0,46.217508,-60.477225,1542.80
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTEZ0,45.996675,-60.456692,1542.99
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTYZ1,46.103375,-60.273603,1557.71
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTYZ2,46.103375,-60.273603,1557.71
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTYZ3,46.103375,-60.273603,1557.71
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTZ1,46.226864,-60.244483,1560.74
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTZ2,46.226864,-60.244483,1560.74
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTZ3,46.226864,-60.244483,1560.74
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTKZ1,46.121886,-60.204467,1563.14
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTKZ2,46.121886,-60.204467,1563.14
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTKZ3,46.121886,-60.204467,1563.14
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTVZ1,46.137911,-60.196197,1563.87
RNC18,TESTU1,43.643689,-79.787497,RNC0,TESTVZ2,46.137911,-60.196197,1563.87
